FAST School of Computing TIME TABLE Spring 2022 <V2.6>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Codes,,,,,BDS-2021,,, BDS-2020,,,BSE-2021,,,BSE-2020,,,BCS-2021,,,BCS-2020,,,BCS-2019,,,BCS-2018 ,,, BCS-2017,,,MDS-2021 ,,, MDS-2020,,,MSP-2021 ,,,MSP-2020 ,,,MCS-2021 ,,,MCS-2020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-3,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2G1),,,,,,,,,Com & Pres Skills Lab (BCS-2E1),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2C1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-4,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2G2),,,,,,,,,Com & Pres Skills Lab (BCS-2E2),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2C2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,Operating Systems Lab (BCS-4C),,,,,,,,,,,,,,,,,,,,,,,,,,,Data Structures Lab (BCS-4G),,,,,,,,,,,,,,,,,,Artificial Intelligence Lab (BCS-6G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2A),,,,Object Oriented Programming lab (BCS-2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BCS-2G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2B),,,,Artificial Intelligence Lab (BCS-6D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operating Systems Lab (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-8),,,,Reserved for EE Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,Digital Logic Design Lab (BCS-2K1),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BDS-2B1),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2H1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Embedded Lab,,,,Digital Logic Design Lab (BCS-2K2),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BDS-2B2),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2H2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tuesday                   Tuesday,Seminar Hall,,,,Linear Algebra (BDS-4A),,,,,,,,,Software Engineering (BCS-6B),,,,,,,,,F. of Big Data Analytics (BDS-4A),,,,,,,,,Advanced Statistics  (BDS-4A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,Computer Networks (BCS-6C),,,,,,,,,Object Oriented Programming (BCS-2L),,,,,,,,,Differential Equations (BCS-2F),,,,,,,,,Bio-informatics (BCS-6A),,,,,,,,,object oriented programming (BSE-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,,,,,,,,,Parallel & Dist Computing (BCS-6A),,,,,,,,,Advance Database Concepts (BCS-6A),,,,,,,,,Parallel & Dist Computing (BCS-6B),,,,,,,,,Web Programming (BCS-6A),,,,,,,,,,,,,,,,,,Calc & Analytical Geometry (BCS-2P),,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,Comp. Org. & Assembly Lang. (BCS-4E),,,,,,,,,Islamic Studies/Ethics (BCS-2H),,,,,,,,,Data Science (BCS-8B),,,,,,,,,Data Science (BCS-8A),,,,,,,,,Software Design & Analysis (BCS-6A),,,,,,,,,Programming Fundamentals (BCS-2P),,,,,,,,,Programming Fundamentals (BCS-2Q),,,,,,,,,,,,,,,,,,,,,,
,CS-5,,,,,,,,,,,,,Artificial Intelligence (BCS-6D),,,,,,,,,Artificial Intelligence (BCS-6B),,,,,,,,,Software Engineering (BCS-6E),,,,,,,,,Computer Networks (BCS-6B),,,,,,,,,Computer Networks (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,,,,,,,,,,Big Data Analytics (MDS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,Data Structures (BDS-4C),,,,,,,,,Principles of Leadership (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,Advanced Programming (BCS-6A),,,,,,,,,Advanced Programming (BCS-8A),,,,,,,,,Graph Algorithms (MCS-2A),,,,,,,,,,,,,,,,,,Internet of Things (BCS-8A),,,,,,,,,Internet of Things (BCS-8B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,,,,,,,,,,Object Oriented Programming (BCS-2B),,,,,,,,,Object Oriented Programming (BCS-2A),,,,,,,,,,,,,,,,,,Advanced Operating Systems (MCS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,,,,,,,,,,,,,Entreprenuership (BCS-6A),,,,,,,,,Operating Systems (BCS-4D),,,,,,,,,Design & Analysis of Algo (BCS-4B),,,,,,,,,Differential Equations (BCS-2E),,,,,,,,,Digital Logic Design (BCS-2H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,,,,Artificial Intelligence (BCS-6J),,,,,,,,,Design & Analysis of Algo (BCS-4A),,,,,,,,,Operating Systems (BCS-4C),,,,,,,,,Operating Systems (BCS-4A),,,,,,,,,Object Oriented Programming (BCS-2N),,,,,,,,,Operating Systems (BCS-4B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,,,,,,,,,,object oriented programming (BDS-2D),,,,,,,,,Software for Mobile Devices (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,Islamic Studies/Ethics (BDS-2C),,,,,,,,,Software Engineering (BCS-6C),,,,,,,,,Software Engineering (BCS-6D),,,,,,,,,Environmental Studies (BCS-4A),,,,,,,,,,,,,,,,,,Entrepreneurship (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-1,,,,Intro to Soft. Proj. Management (BCS-8A),,,,,,,,,NOT AVAILABLE,,,,,,,,,Mass Communication (BCS-6A),,,,,,,,,Pakistan Studies (BCS-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-2,,,,,,,,,,,,,,,,,,,,,,Discrete Structures (BSE-2A),,,,,,,,,,,,,,,,,,Pakistan Studies (BCS-2G),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-3,,,,Software Engineering (BCS-6F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Differential Equations (BCS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artificial Intelligence (BCS-6C),,,,,,,,,Marketing Management (BCS-6A),,,,,,,,,Islamic Studies/Ethics (BDS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-5,,,,Probability & Statistics (BSE-4A),,,,,,,,,Differential Equations (BCS-2C),,,,,,,,,Comp. Org. & Assembly Lang. (BCS-4F),,,,,,,,,Differential Equations (BCS-2M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,,,,,,,,,,Psychology (BCS-4A),,,,,,,,,,,,,,,,,,Psychology (BCS-6A),,,,,,,,,,,,,,,,,,Pakistan Studies (BSE-2C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,Mass Communication (BCS-4A),,,,,,,,,Probability & Statistics (BCS-4C),,,,,,,,,object oriented programming (BDS-2B),,,,,,,,,Entreprenuership (BCS-4A),,,,,,,,,Digital Logic Design (BDS-2A),,,,,,,,,Digital Logic Design (BDS-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,Islamic Studies/Ethics (BCS-2K),,,,,,,,,Intro to Software Engineering (BSE-2B),,,,,,,,,Artificial Intelligence (BCS-6E),,,,,,,,,,,,,,,,,,Intro to Software Engineering (BSE-2C),,,,,,,,,Differential Equations (BCS-2N),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,,,,Object Oriented Programming (BCS-2G),,,,,,,,,,,,,,,,,,Object Oriented Programming (BCS-2H),,,,,,,,,Reserved for Math Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
