FAST School of Computing TIME TABLE Spring 2022 <V2.6>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Codes,,,,,BDS-2021,,, BDS-2020,,,BSE-2021,,,BSE-2020,,,BCS-2021,,,BCS-2020,,,BCS-2019,,,BCS-2018 ,,, BCS-2017,,,MDS-2021 ,,, MDS-2020,,,MSP-2021 ,,,MSP-2020 ,,,MCS-2021 ,,,MCS-2020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-2,,,,,,,,,,,,,Com & Pres Skills Lab (BDS-2B2),,,,,,,,,Com & Pres Skills Lab (BDS-2C2),,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2G2),,,,,,,,,Com & Pres Skills Lab (BDS-2D2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-3,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2F1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2A1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-4,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2F2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2A2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,,,,,,,,,,Artificial Intelligence Lab (BCS-6J),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2A),,,,,,,,,,,,,Operating Systems Lab (BCS-4B),,,,,,,,,,,,,,,,,,,,,,,,,,,Operating Systems Lab (BCS-4A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2B),,,,,,,,,,,,,Database Systems Lab (BCS-4A),,,,,,,,,,,,,,,,,,,,,,,,,,,Database Systems Lab (BCS-4B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,,,,,,,,,Object Oriented Programming lab (BCS-2N),,,,,,,,,,,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BCS-2M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,,,,,,,,,Object Oriented Programming lab (BCS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BCS-2J),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-8),,,,Programming Fundamentals Lab (BCS-2Q),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Programming Fundamentals Lab (BCS-2P),,,,,,,,,,,,,,,,,,Reserved for MG Department,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,,,,,,,,,Object Oriented Programming lab (BDS-2A),,,,,,,,,,,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BCS-2H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,Digital Logic Design Lab (BCS-2J1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2F1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,Digital Logic Design Lab (BCS-2J2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BCS-2F2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Embedded Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday                   Saturday,Seminar Hall,,,,Web Programming (BCS-8A),,,,,,,,,,,,,,,,,,Software Testing (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software for Mobile Devices (BCS-6A),,,,,,,,,Software for Mobile Devices (BCS-6B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design (BDS-2D),,,,,,,,,Digital Logic Design (BDS-2C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,,,,,,,,,,,,,,,,,,,Discrete Structures (BSE-2C),,,,,,,,,,,,,,,,,,Discrete Structures (BSE-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Information Security (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,,,,Information Retrieval (BCS-8A),,,,,,,,,,,,,,,,,,Information Retrieval (BCS-8B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design (BCS-2F),,,,,,,,,Digital Logic Design (BCS-2D),,,,,,,,,Differential Equations (BCS-2D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,Marketing Management (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E&M-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-1,,,,,,,,,,,,,Com & Pres Skills Lab (BDS-2B1),,,,,,,,,Com & Pres Skills Lab (BDS-2C1),,,,,,,,,,,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BDS-2D1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-2,,,,,,,,,,,,,Com & Pres Skills Lab (BDS-2B2),,,,,,,,,Com & Pres Skills Lab (BDS-2C2),,,,,,,,,,,,,,,,,,,,,,,,,,,Com & Pres Skills Lab (BDS-2D2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-3,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2F1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-4,,,,,,,,,,,,,Com & Pres Skills Lab (BCS-2F2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-1),,,,Object Oriented Programming lab (BSE-2C),,,,,,,,,,,,,,,,,,Artificial Intelligence Lab (BCS-6E),,,,,,,,,,,,,,,,,,Computer Networks Lab (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2A),,,,,,,,,,,,,,,,,,,,,,Comp. Org. & Assembly Lang. Lab (BCS-4E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-2B),,,,Comp. Org. & Assembly Lang. Lab (BCS-4F),,,,,,,,,,,,,,,,,,Data Structures Lab (BCS-4F),,,,,,,,,,,,,,,,,,Object Oriented Programming lab (BDS-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,,,,,,,,,,,,,,,,,,F. of Big Data Analytics Lab (BDS-4A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,Artificial Intelligence Lab (BCS-6C),,,,,,,,,,,,,,,,,,Computer Networks Lab (BCS-6C),,,,,,,,,,,,,,,,,,Data Structures Lab (BDS-4C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-8),,,,Database Systems Lab (BCS-6A),,,,,,,,,,,,,,,,,,Artificial Intelligence Lab (BCS-6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,Artificial Intelligence Lab (BCS-6B),,,,,,,,,,,,,,,,,,Computer Networks Lab (BCS-6B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,Digital Logic Design Lab (BDS-2C1),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BDS-2D1),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BDS-2A1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,Digital Logic Design Lab (BDS-2C2),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BDS-2D2),,,,,,,,,,,,,,,,,,Digital Logic Design Lab (BDS-2A2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,0,0,104,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,1,115,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
